"voting_id","voting_body_key","voting_external_id","voting_date","voting_external_alternative_id","voting_affair_external_id","voting_affair_number","voting_title_de","voting_title_fr","voting_title_it","voting_url_de","voting_url_fr","voting_url_it","voting_type_de","voting_type_fr","voting_type_it","voting_meaning_of_yes_de","voting_meaning_of_yes_fr","voting_meaning_of_yes_it","voting_meaning_of_no_de","voting_meaning_of_no_fr","voting_meaning_of_no_it","voting_results_yes","voting_results_no","voting_results_abstention","voting_results_absent","voting_results_string","voting_affair_title_de","voting_affair_title_fr","voting_affair_title_it","voting_decision","voting_meeting_parent_type","voting_meeting_parent_external_id","voting_council_external_id","voting_updated_local","voting_updated_external","voting_created_local"
142496,"GE","030209_AN-PL12575B","2025-01-24 17:40:00",NULL,"PL 12575","PL 12575",NULL,"PL 12575-B, vote nominal : 3e débat",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030209/AN-PL12575B.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51,45,0,NULL,NULL,NULL,"Modifiant la loi sur la gestion administrative et financière de l'Etat (LGAF) (D 1 05) (Maîtrise des engagements)",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.050752"
142495,"GE","030209_AN-PL12574B","2025-01-24 17:35:00",NULL,"PL 12574","PL 12574",NULL,"PL 12574-B, vote nominal : 3e débat",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030209/AN-PL12574B.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51,45,0,NULL,NULL,NULL,"Modifiant la loi sur la gestion administrative et financière de l'Etat (LGAF) (D 1 05) (Maîtrise des charges)",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.050752"
142397,"GE","030209_AN-M03090","2025-01-24 16:22:00",NULL,"M 3090","M 3090",NULL,"M 3090, vote nominal : prise en considération",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030209/AN-M03090.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84,3,2,NULL,NULL,NULL,"Renommer la place de la Petite-Fusterie en place Ruth-Fayon",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:51.621211"
142463,"GE","030209_AN-P02225A","2025-01-24 15:46:00",NULL,"P 2225","P 2225",NULL,"P 2225-A, vote nominal : dépôt sur le bureau",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030209/AN-P02225A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,13,0,NULL,NULL,NULL,"Pétition pour que le vendredi après le Jeûne genevois soit un congé scolaire",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.050752"
142457,"GE","030209_AN-P02210A","2025-01-24 15:24:00",NULL,"P 2210","P 2210",NULL,"P 2210-A, vote nominal : renvoi au Conseil d'Etat",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030209/AN-P02210A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57,30,0,NULL,NULL,NULL,"Pétition : Inciter nos enfants à douter de leur identité sexuelle n'est pas le rôle de l'école",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.050752"
142728,"GE","030209_AN-PL13553A","2025-01-23 22:58:00",NULL,"PL 13553","PL 13553",NULL,"PL 13553-A, vote nominal : 3e débat",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030209/AN-PL13553A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,10,1,NULL,NULL,NULL,"Modifiant la loi relative à la Fondation « Grand-Théâtre de Genève » (PA 270.00)",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.393472"
142713,"GE","030209_AN-PL13517A","2025-01-23 22:34:00",NULL,"PL 13517","PL 13517",NULL,"PL 13517-A, vote nominal : 3e débat",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030209/AN-PL13517A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60,23,4,NULL,NULL,NULL,"Ouvrant un crédit au titre de subvention cantonale d'investissement de 5 000 000 francs à la Ville du Grand-Saconnex pour la réalisation à la Villa Sarasin du Musée de la bande dessinée évaluée à 11 850 000 francs",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.393472"
142727,"GE","030209_AN-PL13550A","2025-01-23 22:11:00",NULL,"PL 13550","PL 13550",NULL,"PL 13550-A, vote nominal : 3e débat",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030209/AN-PL13550A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,13,0,NULL,NULL,NULL,"Modifiant la loi sur l'organisation judiciaire (LOJ) (E 2 05) (Renforcement de la surveillance des magistrates et magistrats du pouvoir judiciaire)",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.393472"
142726,"GE","030209_AN-PL13549A","2025-01-23 22:09:00",NULL,"PL 13549","PL 13549",NULL,"PL 13549-A, vote nominal : 3e débat",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030209/AN-PL13549A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,13,0,NULL,NULL,NULL,"Projet de loi constitutionnelle du Conseil d'Etat modifiant la constitution de la République et canton de Genève (Cst-GE) (A 2 00) (Renforcement de la surveillance des magistrates et magistrats du pouvoir judiciaire)",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.393472"
142725,"GE","030209_AN-PL13548A","2025-01-23 21:42:00",NULL,"PL 13548","PL 13548",NULL,"PL 13548-A, vote nominal : 3e débat",NULL,NULL,"https://ge.ch/grandconseil/data/odj/030209/AN-PL13548A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,20,0,NULL,NULL,NULL,"Modifiant la loi sur l'exercice des droits politiques (LEDP) (A 5 05) (Elections générales du pouvoir judiciaire)",NULL,NULL,NULL,NULL,NULL,"2025-02-26 01:15:49.763",NULL,"2025-02-26 01:15:52.393472"
